Pid,Pindex,Block Size,numjobs*Queue Depth,RW mode,Acess mode,Unit,Initial State
0,Throughput-FOB,128Ki,1*256,write,sequential,MB/s,FOB
1,Throughput-FOB,128Ki,1*128,read,sequential,MB/s,FOB
2,Throughput-FOB,128Ki,1*256,rw55_read,sequential,MB/s,FOB
3,Throughput-FOB,128Ki,1*256,rw55_write,sequential,MB/s,FOB
4,IOPS-FOB,8Ki,4*64,write,random,K,FOB
5,IOPS-FOB,8Ki,4*64,read,random,K,FOB
6,IOPS-FOB,8Ki,4*64,rw73_read,random,K,FOB
7,IOPS-FOB,8Ki,4*64,rw73_write,random,K,FOB
8,IOPS-FOB,4Ki,4*64,write,random,K,FOB
9,IOPS-FOB,4Ki,4*64,read,random,K,FOB
10,IOPS-FOB,4Ki,4*64,rw73_read,random,K,FOB
11,IOPS-FOB,4Ki,4*64,rw73_write,random,K,FOB
12,Throughput-SS,128Ki,1*128,read,sequential,MB/s,SS
13,Throughput-SS,128Ki,1*256,write,sequential,MB/s,SS
14,IOPS-SS,8Ki,4*64,read,random,K,SS
15,IOPS-SS,8Ki,4*64,write,random,K,SS
16,IOPS-SS,8Ki,4*64,rw73_read,random,K,SS
17,IOPS-SS,8Ki,4*64,rw73_write,random,K,SS
18,IOPS-SS,4Ki,4*64,read,random,K,SS
19,IOPS-SS,4Ki,4*8,read,random,K,SS
20,IOPS-SS,4Ki,4*64,write,random,K,SS
21,IOPS-SS,4Ki,4*8,write,random,K,SS
22,IOPS-SS,4Ki,4*64,rw73_read,random,K,SS
23,IOPS-SS,4Ki,4*64,rw73_write,random,K,SS
24,IOPS-SS,4Ki,4*8,rw73_read,random,K,SS
25,IOPS-SS,4Ki,4*8,rw73_write,random,K,SS
26,IOPS-SS,4Ki,4*8,rw37_read,random,K,SS
27,IOPS-SS,4Ki,4*8,rw37_write,random,K,SS
28,IOPS-SS,4Ki,4*8,rw1783_read,random,K,SS
29,IOPS-SS,4Ki,4*8,rw1783_write,random,K,SS
30,Throughput-Consistency_99.9%lowerst,128Ki,1*256,write,sequential,%,FOB
31,Throughput-Consistency_100%lowerst,128Ki,1*256,write,sequential,%,FOB
32,Throughput-Consistency_99.9%lowerst,128Ki,1*128,read,sequential,%,FOB
33,Throughput-Consistency_100%lowerst,128Ki,1*128,read,sequential,%,FOB
34,Throughput-Consistency_99.9%lowerst,128Ki,1*256,rw55_read,sequential,%,FOB
35,Throughput-Consistency_100%lowerst,128Ki,1*256,rw55_read,sequential,%,FOB
36,Throughput-Consistency_99.9%lowerst,128Ki,1*256,rw55_write,sequential,%,FOB
37,Throughput-Consistency_100%lowerst,128Ki,1*256,rw55_write,sequential,%,FOB
